date,tenor_3m,tenor_6m,tenor_1y,tenor_2y,tenor_5y,tenor_10y
2024-08-14,0.0677,0.0682,0.0697,0.0700,0.0709,0.0723
2024-08-16,0.0678,0.0683,0.0697,0.0700,0.0710,0.0723
2024-08-19,0.0678,0.0683,0.0697,0.0700,0.0710,0.0723
2024-08-20,0.0679,0.0683,0.0697,0.0700,0.0710,0.0723
2024-08-21,0.0679,0.0684,0.0697,0.0700,0.0710,0.0723
2024-08-22,0.0680,0.0684,0.0698,0.0701,0.0710,0.0723
2024-08-23,0.0680,0.0684,0.0698,0.0701,0.0710,0.0723
2024-08-26,0.0681,0.0685,0.0698,0.0701,0.0710,0.0723
2024-08-27,0.0681,0.0685,0.0698,0.0701,0.0710,0.0723
2024-08-28,0.0682,0.0686,0.0699,0.0702,0.0711,0.0723
2024-08-29,0.0682,0.0686,0.0699,0.0702,0.0711,0.0724
2024-08-30,0.0683,0.0686,0.0699,0.0702,0.0711,0.0724
2024-09-02,0.0680,0.0684,0.0697,0.0700,0.0709,0.0722
2024-09-03,0.0679,0.0683,0.0697,0.0700,0.0709,0.0722
2024-09-04,0.0679,0.0683,0.0697,0.0700,0.0709,0.0721
2024-09-05,0.0679,0.0683,0.0697,0.0700,0.0709,0.0721
2024-09-06,0.0679,0.0683,0.0697,0.0700,0.0709,0.0721
2024-09-09,0.0678,0.0682,0.0696,0.0699,0.0708,0.0720
2024-09-10,0.0678,0.0682,0.0696,0.0699,0.0708,0.0720
2024-09-11,0.0678,0.0682,0.0696,0.0699,0.0708,0.0720
2024-09-12,0.0677,0.0681,0.0695,0.0698,0.0708,0.0719
2024-09-13,0.0677,0.0681,0.0695,0.0698,0.0708,0.0719
2024-09-16,0.0677,0.0681,0.0695,0.0698,0.0707,0.0719
2024-09-17,0.0677,0.0681,0.0695,0.0698,0.0707,0.0718
2024-09-18,0.0676,0.0680,0.0694,0.0697,0.0706,0.0718
2024-09-19,0.0676,0.0680,0.0694,0.0697,0.0706,0.0718
2024-09-20,0.0676,0.0680,0.0694,0.0697,0.0706,0.0717
2024-09-23,0.0675,0.0679,0.0693,0.0696,0.0705,0.0717
2024-09-24,0.0675,0.0679,0.0693,0.0696,0.0705,0.0717
2024-09-25,0.0675,0.0679,0.0693,0.0696,0.0705,0.0716
2024-09-26,0.0675,0.0679,0.0693,0.0696,0.0705,0.0716
2024-09-27,0.0674,0.0678,0.0692,0.0695,0.0704,0.0715
2024-09-30,0.0673,0.0677,0.0691,0.0694,0.0703,0.0714
2024-10-01,0.0672,0.0676,0.0690,0.0693,0.0702,0.0713
2024-10-02,0.0671,0.0675,0.0689,0.0692,0.0701,0.0712
2024-10-03,0.0670,0.0674,0.0688,0.0691,0.0700,0.0711
2024-10-04,0.0669,0.0673,0.0687,0.0690,0.0699,0.0710
2024-10-07,0.0669,0.0673,0.0687,0.0690,0.0699,0.0710
2024-10-08,0.0669,0.0673,0.0687,0.0690,0.0699,0.0710
2024-10-09,0.0670,0.0674,0.0688,0.0691,0.0700,0.0711
2024-10-10,0.0670,0.0674,0.0688,0.0691,0.0700,0.0711
2024-10-11,0.0671,0.0675,0.0689,0.0692,0.0701,0.0712
2024-10-14,0.0671,0.0675,0.0689,0.0692,0.0701,0.0712
2024-10-15,0.0672,0.0676,0.0689,0.0692,0.0701,0.0712
2024-10-16,0.0672,0.0676,0.0690,0.0693,0.0702,0.0712
2024-10-17,0.0673,0.0677,0.0690,0.0693,0.0702,0.0713
2024-10-18,0.0673,0.0677,0.0690,0.0693,0.0702,0.0713
2024-10-21,0.0674,0.0678,0.0691,0.0693,0.0703,0.0713
2024-10-22,0.0674,0.0678,0.0691,0.0694,0.0703,0.0714
2024-10-23,0.0675,0.0679,0.0692,0.0694,0.0703,0.0714
2024-10-24,0.0675,0.0679,0.0692,0.0695,0.0704,0.0714
2024-10-25,0.0676,0.0680,0.0692,0.0695,0.0704,0.0715
2024-10-28,0.0676,0.0680,0.0693,0.0695,0.0704,0.0715
2024-10-29,0.0677,0.0681,0.0693,0.0696,0.0705,0.0715
2024-10-30,0.0677,0.0681,0.0694,0.0696,0.0705,0.0716
2024-10-31,0.0678,0.0682,0.0694,0.0697,0.0705,0.0716
2024-11-01,0.0678,0.0682,0.0695,0.0697,0.0706,0.0716
2024-11-04,0.0679,0.0683,0.0695,0.0698,0.0706,0.0717
2024-11-05,0.0679,0.0683,0.0696,0.0698,0.0707,0.0717
2024-11-06,0.0679,0.0683,0.0696,0.0699,0.0707,0.0717
2024-11-07,0.0680,0.0684,0.0697,0.0699,0.0707,0.0717
2024-11-08,0.0680,0.0684,0.0697,0.0700,0.0708,0.0718
2024-11-11,0.0680,0.0684,0.0697,0.0700,0.0708,0.0718
2024-11-12,0.0681,0.0685,0.0698,0.0700,0.0708,0.0718
2024-11-13,0.0681,0.0685,0.0698,0.0701,0.0709,0.0718
2024-11-14,0.0682,0.0686,0.0698,0.0701,0.0709,0.0719
2024-11-15,0.0682,0.0686,0.0699,0.0702,0.0709,0.0719
2024-11-18,0.0683,0.0687,0.0699,0.0702,0.0710,0.0719
2024-11-19,0.0683,0.0687,0.0700,0.0702,0.0710,0.0719
2024-11-20,0.0684,0.0688,0.0700,0.0703,0.0710,0.0720
2024-11-21,0.0684,0.0688,0.0701,0.0703,0.0711,0.0720
2024-11-22,0.0685,0.0689,0.0701,0.0704,0.0711,0.0720
2024-11-25,0.0685,0.0689,0.0701,0.0704,0.0711,0.0720
2024-11-26,0.0685,0.0689,0.0701,0.0704,0.0711,0.0720
2024-11-27,0.0685,0.0689,0.0701,0.0704,0.0711,0.0720
2024-11-28,0.0685,0.0689,0.0701,0.0704,0.0711,0.0720
2024-11-29,0.0685,0.0689,0.0701,0.0704,0.0711,0.0720
2024-12-02,0.0684,0.0688,0.0700,0.0703,0.0710,0.0719
2024-12-03,0.0683,0.0687,0.0699,0.0702,0.0709,0.0718
2024-12-04,0.0682,0.0686,0.0698,0.0701,0.0708,0.0717
2024-12-05,0.0681,0.0685,0.0697,0.0700,0.0708,0.0716
2024-12-06,0.0680,0.0684,0.0696,0.0699,0.0707,0.0715
2024-12-09,0.0679,0.0683,0.0695,0.0698,0.0706,0.0714
2024-12-10,0.0678,0.0682,0.0694,0.0697,0.0705,0.0713
2024-12-11,0.0677,0.0681,0.0693,0.0696,0.0704,0.0712
2024-12-12,0.0676,0.0680,0.0692,0.0695,0.0703,0.0711
2024-12-13,0.0675,0.0679,0.0691,0.0694,0.0702,0.0710
2024-12-16,0.0674,0.0678,0.0690,0.0693,0.0701,0.0709
2024-12-17,0.0673,0.0677,0.0689,0.0692,0.0700,0.0708
2024-12-18,0.0672,0.0676,0.0688,0.0691,0.0699,0.0707
2024-12-19,0.0671,0.0675,0.0687,0.0690,0.0698,0.0706
2024-12-20,0.0670,0.0674,0.0686,0.0689,0.0697,0.0705
2024-12-23,0.0670,0.0674,0.0686,0.0689,0.0697,0.0705
2024-12-24,0.0670,0.0674,0.0686,0.0689,0.0697,0.0705
2024-12-26,0.0670,0.0674,0.0686,0.0689,0.0697,0.0705
2024-12-27,0.0670,0.0674,0.0686,0.0689,0.0697,0.0705
2024-12-30,0.0670,0.0674,0.0686,0.0689,0.0697,0.0705
2024-12-31,0.0670,0.0674,0.0686,0.0689,0.0697,0.0705
2025-01-01,0.0670,0.0674,0.0686,0.0689,0.0697,0.0705
2025-01-02,0.0669,0.0673,0.0685,0.0688,0.0696,0.0704
2025-01-03,0.0668,0.0672,0.0684,0.0687,0.0695,0.0703
2025-01-06,0.0668,0.0672,0.0684,0.0687,0.0695,0.0703
2025-01-07,0.0668,0.0672,0.0684,0.0687,0.0695,0.0703
2025-01-08,0.0668,0.0672,0.0684,0.0687,0.0695,0.0703
2025-01-09,0.0667,0.0671,0.0683,0.0686,0.0694,0.0702
2025-01-10,0.0666,0.0670,0.0682,0.0685,0.0693,0.0701
2025-01-13,0.0666,0.0670,0.0682,0.0685,0.0693,0.0701
2025-01-14,0.0665,0.0669,0.0681,0.0684,0.0692,0.0700
2025-01-15,0.0664,0.0668,0.0680,0.0683,0.0691,0.0699
2025-01-16,0.0663,0.0667,0.0679,0.0682,0.0690,0.0698
2025-01-17,0.0662,0.0666,0.0678,0.0681,0.0689,0.0697
2025-01-20,0.0662,0.0666,0.0678,0.0681,0.0689,0.0697
2025-01-21,0.0661,0.0665,0.0677,0.0680,0.0688,0.0696
2025-01-22,0.0660,0.0664,0.0676,0.0679,0.0687,0.0695
2025-01-23,0.0659,0.0663,0.0675,0.0678,0.0686,0.0694
2025-01-24,0.0658,0.0662,0.0674,0.0677,0.0685,0.0693
2025-01-27,0.0657,0.0661,0.0673,0.0676,0.0684,0.0692
2025-01-28,0.0656,0.0660,0.0672,0.0675,0.0683,0.0691
2025-01-29,0.0655,0.0659,0.0671,0.0674,0.0682,0.0690
2025-01-30,0.0654,0.0658,0.0670,0.0673,0.0681,0.0689
2025-01-31,0.0653,0.0657,0.0669,0.0672,0.0680,0.0688
2025-02-03,0.0652,0.0656,0.0668,0.0671,0.0679,0.0687
2025-02-04,0.0651,0.0655,0.0667,0.0670,0.0678,0.0686
2025-02-05,0.0650,0.0654,0.0666,0.0669,0.0677,0.0685
2025-02-06,0.0649,0.0653,0.0665,0.0668,0.0676,0.0684
2025-02-07,0.0648,0.0652,0.0664,0.0667,0.0675,0.0683
2025-02-10,0.0647,0.0651,0.0663,0.0666,0.0674,0.0682
2025-02-11,0.0646,0.0650,0.0662,0.0665,0.0673,0.0681
2025-02-12,0.0645,0.0649,0.0661,0.0664,0.0672,0.0680
2025-02-13,0.0644,0.0648,0.0660,0.0663,0.0671,0.0679
2025-02-14,0.0643,0.0647,0.0659,0.0662,0.0670,0.0678
2025-02-17,0.0642,0.0646,0.0658,0.0661,0.0669,0.0677
2025-02-18,0.0641,0.0645,0.0657,0.0660,0.0668,0.0676
2025-02-19,0.0640,0.0644,0.0656,0.0659,0.0667,0.0675
2025-02-20,0.0639,0.0643,0.0655,0.0658,0.0666,0.0674
2025-02-21,0.0638,0.0642,0.0654,0.0657,0.0665,0.0673
2025-02-24,0.0637,0.0641,0.0653,0.0656,0.0664,0.0672
2025-02-25,0.0636,0.0640,0.0652,0.0655,0.0663,0.0671
2025-02-26,0.0635,0.0639,0.0651,0.0654,0.0662,0.0670
2025-02-27,0.0634,0.0638,0.0650,0.0653,0.0661,0.0669
2025-02-28,0.0633,0.0637,0.0649,0.0652,0.0660,0.0668
2025-03-03,0.0632,0.0636,0.0648,0.0651,0.0659,0.0667
2025-03-04,0.0631,0.0635,0.0647,0.0650,0.0658,0.0666
2025-03-05,0.0630,0.0634,0.0646,0.0649,0.0657,0.0665
2025-03-06,0.0629,0.0633,0.0645,0.0648,0.0656,0.0664
2025-03-07,0.0628,0.0632,0.0644,0.0647,0.0655,0.0663
2025-03-10,0.0628,0.0632,0.0644,0.0647,0.0655,0.0663
2025-03-11,0.0627,0.0631,0.0643,0.0646,0.0654,0.0662
2025-03-12,0.0626,0.0630,0.0642,0.0645,0.0653,0.0661
2025-03-13,0.0625,0.0629,0.0641,0.0644,0.0652,0.0660
2025-03-14,0.0625,0.0629,0.0641,0.0644,0.0652,0.0660
2025-03-17,0.0624,0.0628,0.0640,0.0643,0.0651,0.0659
2025-03-18,0.0624,0.0628,0.0640,0.0643,0.0651,0.0659
2025-03-19,0.0624,0.0628,0.0640,0.0643,0.0651,0.0659
2025-03-20,0.0624,0.0628,0.0640,0.0643,0.0651,0.0659
2025-03-21,0.0624,0.0628,0.0640,0.0643,0.0651,0.0659
2025-03-24,0.0624,0.0628,0.0640,0.0643,0.0651,0.0659
2025-03-25,0.0624,0.0628,0.0640,0.0643,0.0651,0.0659
2025-03-26,0.0624,0.0628,0.0640,0.0643,0.0651,0.0659
2025-03-27,0.0624,0.0628,0.0640,0.0643,0.0651,0.0659
2025-03-28,0.0624,0.0628,0.0640,0.0643,0.0651,0.0659
2025-03-31,0.0625,0.0629,0.0641,0.0644,0.0652,0.0660
2025-04-01,0.0625,0.0629,0.0641,0.0644,0.0652,0.0660
2025-04-02,0.0625,0.0629,0.0641,0.0644,0.0652,0.0660
2025-04-03,0.0625,0.0629,0.0641,0.0644,0.0652,0.0660
2025-04-04,0.0625,0.0629,0.0641,0.0644,0.0652,0.0660
2025-04-07,0.0626,0.0630,0.0642,0.0645,0.0653,0.0661
2025-04-09,0.0626,0.0630,0.0642,0.0645,0.0653,0.0661
2025-04-10,0.0626,0.0630,0.0642,0.0645,0.0653,0.0661
2025-04-11,0.0627,0.0631,0.0643,0.0646,0.0654,0.0662
2025-04-14,0.0627,0.0631,0.0643,0.0646,0.0654,0.0662
2025-04-16,0.0627,0.0631,0.0643,0.0646,0.0654,0.0662
2025-04-17,0.0628,0.0632,0.0644,0.0647,0.0655,0.0663
2025-04-22,0.0628,0.0632,0.0644,0.0647,0.0655,0.0663
2025-04-23,0.0628,0.0632,0.0644,0.0647,0.0655,0.0663
2025-04-24,0.0629,0.0633,0.0645,0.0648,0.0656,0.0664
2025-04-25,0.0629,0.0633,0.0645,0.0648,0.0656,0.0664
2025-04-28,0.0630,0.0634,0.0646,0.0649,0.0657,0.0665
2025-04-29,0.0630,0.0634,0.0646,0.0649,0.0657,0.0665
2025-04-30,0.0630,0.0634,0.0646,0.0649,0.0657,0.0665
2025-05-02,0.0631,0.0635,0.0647,0.0650,0.0658,0.0666
2025-05-05,0.0631,0.0635,0.0647,0.0650,0.0658,0.0666
2025-05-06,0.0632,0.0636,0.0648,0.0651,0.0659,0.0667
2025-05-07,0.0632,0.0636,0.0648,0.0651,0.0659,0.0667
2025-05-08,0.0632,0.0636,0.0648,0.0651,0.0659,0.0667
2025-05-09,0.0633,0.0637,0.0649,0.0652,0.0660,0.0668
2025-05-12,0.0633,0.0637,0.0649,0.0652,0.0660,0.0668
2025-05-13,0.0633,0.0637,0.0649,0.0652,0.0660,0.0668
2025-05-14,0.0634,0.0638,0.0650,0.0653,0.0661,0.0669
2025-05-15,0.0634,0.0638,0.0650,0.0653,0.0661,0.0669
2025-05-16,0.0634,0.0638,0.0650,0.0653,0.0661,0.0669
2025-05-19,0.0635,0.0639,0.0651,0.0654,0.0662,0.0670
2025-05-20,0.0635,0.0639,0.0651,0.0654,0.0662,0.0670
2025-05-21,0.0635,0.0639,0.0651,0.0654,0.0662,0.0670
2025-05-22,0.0636,0.0640,0.0652,0.0655,0.0663,0.0671
2025-05-23,0.0636,0.0640,0.0652,0.0655,0.0663,0.0671
2025-05-26,0.0636,0.0640,0.0652,0.0655,0.0663,0.0671
2025-05-27,0.0637,0.0641,0.0653,0.0656,0.0664,0.0672
2025-05-28,0.0637,0.0641,0.0653,0.0656,0.0664,0.0672
2025-05-29,0.0637,0.0641,0.0653,0.0656,0.0664,0.0672
2025-05-30,0.0638,0.0642,0.0654,0.0657,0.0665,0.0673
